Splitting Approach,Metric,Performance Value
Random 70%/30%,AUC,0.9823540499807314
Random 70%/30%,F-1,0.6168952090739801
Random 70%/30%,MCC,0.619872145583484
Random 60%/40%,AUC,0.9787121603698262
Random 60%/40%,F-1,0.6103465851172273
Random 60%/40%,MCC,0.6130059983450491
Random 50%/50%,AUC,0.9779031760777662
Random 50%/50%,F-1,0.5874394184168013
Random 50%/50%,MCC,0.590547046469479
Time-based 50%/50%,AUC,0.9518912061643433
Time-based 50%/50%,F-1,0.5138121546961325
Time-based 50%/50%,MCC,0.5082455306151182
Time-based 60%/40%,AUC,0.9543055124907964
Time-based 60%/40%,F-1,0.519429857464366
Time-based 60%/40%,MCC,0.5142109396756736
Time-based 70%/30%,AUC,0.9432914685761241
Time-based 70%/30%,F-1,0.47205240174672486
Time-based 70%/30%,MCC,0.4686632928487245
Time-based 80%/20%,AUC,0.9408513765731439
Time-based 80%/20%,F-1,0.45725779416694606
Time-based 80%/20%,MCC,0.45185116873512443
Time-based 90%/10%,AUC,0.964766060759626
Time-based 90%/10%,F-1,0.5076142131979695
Time-based 90%/10%,MCC,0.5103687473999936
Random 90%/10%,AUC,0.9806110115932161
Random 90%/10%,F-1,0.5837270341207349
Random 90%/10%,MCC,0.5899798507360069
Random 80%/20%,AUC,0.982264291582386
Random 80%/20%,F-1,0.6102204408817635
Random 80%/20%,MCC,0.6147055374910256
Random 70%/30%,AUC,0.9809890655217552
Random 70%/30%,F-1,0.6136438176451295
Random 70%/30%,MCC,0.6179152355716404
Random 60%/40%,AUC,0.9797382742852759
Random 60%/40%,F-1,0.6182546638287217
Random 60%/40%,MCC,0.6202898983149542
Random 50%/50%,AUC,0.97780939900387
Random 50%/50%,F-1,0.5921243523316062
Random 50%/50%,MCC,0.5941892629466903
Time-based 50%/50%,AUC,0.949315431206623
Time-based 50%/50%,F-1,0.5085422675837585
Time-based 50%/50%,MCC,0.5041725651756946
Time-based 60%/40%,AUC,0.9530604051627833
Time-based 60%/40%,F-1,0.49848392965433597
