Splitting Approach,Metric,Performance Value
Random 90%/10%,AUC,0.9643355528947876
Random 90%/10%,F-1,0.262639527248851
Random 90%/10%,MCC,0.3608608105386029
Random 80%/20%,AUC,0.9605393317993357
Random 80%/20%,F-1,0.23421926910299
Random 80%/20%,MCC,0.3366383290960303
Random 70%/30%,AUC,0.9594396630240892
Random 70%/30%,F-1,0.25215744053883393
Random 70%/30%,MCC,0.3494773230930179
Random 60%/40%,AUC,0.9667214258878335
Random 60%/40%,F-1,0.20527655635269615
Random 60%/40%,MCC,0.3159606759380544
Random 50%/50%,AUC,0.9625747606247647
Random 50%/50%,F-1,0.2737374409475015
Random 50%/50%,MCC,0.36804681465710787
Time-based 50%/50%,AUC,0.8970113951063893
Time-based 50%/50%,F-1,0.18323249783923937
Time-based 50%/50%,MCC,0.2724709066646767
Time-based 60%/40%,AUC,0.9163660082510587
Time-based 60%/40%,F-1,0.18273204512453925
Time-based 60%/40%,MCC,0.28106917895341854
Time-based 70%/30%,AUC,0.8919204795914023
Time-based 70%/30%,F-1,0.20911190426201973
Time-based 70%/30%,MCC,0.3014191468002286
Time-based 80%/20%,AUC,0.9000142694884149
Time-based 80%/20%,F-1,0.19829589465530592
Time-based 80%/20%,MCC,0.2832322060227773
Time-based 90%/10%,AUC,0.9081756760264437
Time-based 90%/10%,F-1,0.20995228357191545
Time-based 90%/10%,MCC,0.30488625742598235
Random 90%/10%,AUC,0.967665742155656
Random 90%/10%,F-1,0.2956934554086131
Random 90%/10%,MCC,0.39046525915924096
Random 80%/20%,AUC,0.9637088870632351
Random 80%/20%,F-1,0.21665174574753804
Random 80%/20%,MCC,0.32298265060485676
Random 70%/30%,AUC,0.9628253223314942
Random 70%/30%,F-1,0.2579965523846006
Random 70%/30%,MCC,0.3604217271258866
Random 60%/40%,AUC,0.9690310088707841
Random 60%/40%,F-1,0.23787080676462435
Random 60%/40%,MCC,0.3422171202019527
Random 50%/50%,AUC,0.9648650335507775
Random 50%/50%,F-1,0.2457008109507103
Random 50%/50%,MCC,0.348033951023184
Time-based 50%/50%,AUC,0.90387867457044
Time-based 50%/50%,F-1,0.21173076923076925
Time-based 50%/50%,MCC,0.30115991251368823
Time-based 60%/40%,AUC,0.9077526355786352
Time-based 60%/40%,F-1,0.17969635168819398
Time-based 60%/40%,MCC,0.27467955730689353
Time-based 70%/30%,AUC,0.8719987519533043
Time-based 70%/30%,F-1,0.180526214710966
Time-based 70%/30%,MCC,0.27011961012964675
Time-based 80%/20%,AUC,0.9057682787360355
Time-based 80%/20%,F-1,0.17748158540862854
Time-based 80%/20%,MCC,0.2642606499479972
Time-based 90%/10%,AUC,0.9003223356877379
Time-based 90%/10%,F-1,0.22375478927203066
Time-based 90%/10%,MCC,0.30955240262644973
Random 90%/10%,AUC,0.9767904145110496
Random 90%/10%,F-1,0.2760261748958953
Random 90%/10%,MCC,0.37615709356887395
Random 80%/20%,AUC,0.9691417010384396
Random 80%/20%,F-1,0.2550173532518485
Random 80%/20%,MCC,0.3565594323204222
Random 70%/30%,AUC,0.9638970247581594
Random 70%/30%,F-1,0.22055475929516904
Random 70%/30%,MCC,0.32675129802576147
Random 60%/40%,AUC,0.9647536782310879
Random 60%/40%,F-1,0.2547590719809637
Random 60%/40%,MCC,0.3544381906278554
Random 50%/50%,AUC,0.9644059359582495
Random 50%/50%,F-1,0.22226910702041244
Random 50%/50%,MCC,0.32780899782318657
