Scenario,Model,N,K,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Training Time,Testing Time
Static Model,CART,12,12,0.04129993229519296,0.7625,0.9951053626124743,0.0783558124598587,0.8788344256869716,0.17675497548719893,0.004894637387525667,0.5226414720527828,0.1309337499551475
Updated Model,CART,12,12,0.03454947484798231,0.78125,0.9939831774553343,0.06617257808364214,0.8876456210891919,0.16352168135775264,0.006016822544665698,0.19715407793410122,0.13881388888694346
Static Model,CART,12,-1,0.048493078675311024,0.7399732620320856,0.9937154220303024,0.09102121361618155,0.8668983137586607,0.1884207840377054,0.00628457796969759,0.5226414720527828,0.13177467273393026
Updated Model,CART,12,-1,0.041303280854758935,0.7312834224598931,0.9926679923686862,0.07819032984311902,0.8620313047055369,0.17269278689930206,0.007332007631313855,0.3351510727079585,0.15376922383438796
Static Model,CART,14,8,0.06171761280931587,0.686084142394822,0.9933942179510138,0.11324786324786325,0.8398337077514514,0.20448807226222318,0.006605782048986251,0.5111630808096379,0.1066712150350213
Updated Model,CART,14,8,0.058806233460746836,0.6472491909385113,0.9934141148848963,0.10781671159029649,0.8204381321150774,0.19377198251739958,0.006585885115103762,0.49925011792220175,0.11041575204581022
Static Model,CART,14,9,0.05736636245110821,0.7857142857142857,0.9926878767981854,0.10692588092345079,0.8892587673519767,0.21110912762003947,0.0073121232018146,0.5111630808096379,0.11344578699208796
Updated Model,CART,14,9,0.0534219596258001,0.775,0.9922242782387234,0.09995393827729157,0.883672682208198,0.20222789639009112,0.007775721761276587,0.4305078929755837,0.11234908690676093
Static Model,CART,14,10,0.03963314772355061,0.7882736156351792,0.9882031079010725,0.07547169811320754,0.8882994611425079,0.1751496131473961,0.011796892098927555,0.5111630808096379,0.10810095211490989
Updated Model,CART,14,10,0.08048780487804878,0.8599348534201955,0.9939135279253467,0.1471982157792027,0.9269651351732549,0.26202563517977867,0.006086472074653296,0.4219205570407212,0.18491909583099186
Static Model,CART,14,11,0.02689386163005543,0.6064814814814815,0.9903997294016992,0.05150383330057008,0.7985231399094874,0.12631277454521878,0.009600270598300802,0.5111630808096379,0.11366061610169709
Updated Model,CART,14,11,0.04373333333333333,0.7592592592592593,0.9927614954535506,0.08270297528996469,0.8760605754986436,0.1811473502707839,0.0072385045464493925,0.31233401596546173,0.11553465807810426
Static Model,CART,14,12,0.021153846153846155,0.75,0.9938797031377464,0.04114713216957606,0.8719612061245527,0.1253158128075546,0.006120296862253527,0.5111630808096379,0.10628628195263445
Updated Model,CART,14,12,0.027580071174377226,0.7045454545454546,0.9955987982251935,0.05308219178082192,0.8500976115517949,0.13883460960825,0.004401201774806502,0.27440895582549274,0.16061038384214044
Static Model,CART,14,13,0.038834951456310676,0.718562874251497,0.9939970950476532,0.0736874424316856,0.8563257603354741,0.16615875213566078,0.006002904952346844,0.5111630808096379,0.11268308712169528
Updated Model,CART,14,13,0.03128491620111732,0.6706586826347305,0.9929903101931993,0.0597811582599413,0.8318780661966005,0.1438485208559386,0.007009689806800772,0.22249972308054566,0.11624245112761855
Static Model,CART,14,14,0.02737709743891669,0.7209302325581395,0.9933545827513619,0.05275099262620533,0.8571773774353906,0.13966189271999568,0.006645417248638087,0.5111630808096379,0.10422195703722537
Updated Model,CART,14,14,0.028596698113207548,0.751937984496124,0.9933804481478387,0.05509798352740699,0.8726902091094655,0.1458342859563267,0.006619551852161352,0.19045270700007677,0.18351943790912628
Static Model,CART,14,-1,0.03891721117254254,0.7245989304812834,0.9922737626849627,0.07386712095400341,0.8584932817351083,0.16678873789577162,0.007726237315037313,0.5111630808096379,0.10929569947932448
Updated Model,CART,14,-1,0.04706279256104247,0.7459893048128342,0.9934689958506507,0.0885398072117101,0.8697817899232443,0.18634780347088342,0.006531004149349287,0.3359105671157262,0.14051298082007893
Static Model,CART,16,9,0.0662563359884142,0.6828358208955224,0.9939422466897243,0.1207920792079208,0.8384838878447519,0.21147512915629596,0.006057753310275669,0.46822415408678353,0.08915665000677109
Updated Model,CART,16,9,0.06247911794186435,0.6977611940298507,0.9934351599824452,0.114688745783502,0.8456883258152184,0.20752924407219162,0.006564840017554751,0.48516937904059887,0.09015606599859893
Static Model,CART,16,10,0.05762081784386617,0.7351778656126482,0.9929303472065889,0.10686584314852053,0.8641282921896429,0.20457508934639831,0.0070696527934110565,0.46822415408678353,0.09076892188750207
Updated Model,CART,16,10,0.04461056185194116,0.7312252964426877,0.9908360563662121,0.0840909090909091,0.8611053970302556,0.1791800565385238,0.009163943633787893,0.4096122500486672,0.09290231484919786
Static Model,CART,16,11,0.06300114547537228,0.8661417322834646,0.9924823827163021,0.11745862253069941,0.9293485644123183,0.23244780558482936,0.007517617283697958,0.46822415408678353,0.12284810887649655
Updated Model,CART,16,11,0.05758733624454149,0.8307086614173228,0.9920503357459746,0.10770801429300664,0.9114261192564403,0.21749651686253196,0.007949664254025428,0.4768695349339396,0.10699630691669881
Static Model,CART,16,12,0.024573798187682384,0.6299212598425197,0.9853445119802077,0.04730229120473023,0.8077355876585737,0.12243745636379744,0.0146554880197923,0.46822415408678353,0.09916017693467438
Updated Model,CART,16,12,0.036105738233397806,0.6614173228346457,0.9896058594664902,0.06847360912981454,0.8256064232582696,0.15291765357094209,0.01039414053350979,0.3208975289016962,0.1393699909094721
Static Model,CART,16,13,0.02301864801864802,0.7452830188679245,0.9923141117910166,0.04465799886941775,0.8688283442908178,0.1301315264260356,0.007685888208983393,0.46822415408678353,0.10108928196132183
Updated Model,CART,16,13,0.039790996784565914,0.9339622641509434,0.9945516603110284,0.07632999228989977,0.9642642661264793,0.19217755299803724,0.00544833968897166,0.30970016098581254,0.10014219884760678
Static Model,CART,16,14,0.02763819095477387,0.673469387755102,0.9946471654307849,0.053097345132743376,0.834094071045375,0.13571523405399585,0.005352834569215061,0.46822415408678353,0.1111870501190424
Updated Model,CART,16,14,0.02468265162200282,0.7142857142857143,0.9936466356047634,0.047716428084526245,0.8539973090146062,0.1320220202986066,0.0063533643952365685,0.2529244578909129,0.10380172077566385
Static Model,CART,16,15,0.0420102080879466,0.6948051948051948,0.9943447325515558,0.0792299148463532,0.84462742924333,0.1699460118575348,0.00565526744844429,0.46822415408678353,0.10449366783723235
Updated Model,CART,16,15,0.03679035838883603,0.7532467532467533,0.9930076608749633,0.07015421832476565,0.8731692021562885,0.16550861308912368,0.006992339125036667,0.20848729112185538,0.09396655904129148
Static Model,CART,16,16,0.031451612903225803,0.7155963302752294,0.9944675248483856,0.06025492468134414,0.855066496431484,0.1492798897936507,0.0055324751516143775,0.46822415408678353,0.09596344106830657
Updated Model,CART,16,16,0.030990173847316706,0.7522935779816514,0.994108243683587,0.059528130671506356,0.8732308861754555,0.15194365007575783,0.005891756316413009,0.19628487201407552,0.0900165990460664
Static Model,CART,16,-1,0.04020119225037258,0.7212566844919787,0.9925591279018208,0.07615753811405987,0.8569656130499386,0.1691615045125743,0.007440872098179263,0.46822415408678353,0.1018334123364184
Updated Model,CART,16,-1,0.042061700526711814,0.7473262032085561,0.992655201504433,0.0796409744977917,0.8700428845789356,0.1762076712913506,0.007344798495566971,0.33249318436719477,0.10216896954807453
Static Model,CART,18,10,0.07553003533568904,0.7245762711864406,0.9944794629883552,0.1368,0.8596093904694836,0.23281394002791908,0.005520537011644803,0.5443784920498729,0.08647536300122738
Updated Model,CART,18,10,0.07342007434944238,0.6694915254237288,0.9946994658535088,0.1323283082077052,0.8321937236403254,0.22055854486672152,0.00530053414649121,0.4829400510061532,0.0918185580521822
Static Model,CART,18,11,0.07749077490774908,0.711864406779661,0.9947096985449113,0.13976705490848587,0.8533724851636129,0.23375753977808247,0.0052903014550887174,0.5443784920498729,0.08886111294850707
Updated Model,CART,18,11,0.07018239492466297,0.75,0.9938501524671018,0.12835387962291517,0.8719987303797597,0.22825972324101676,0.006149847532898103,0.42201587394811213,0.0865459421183914
Static Model,CART,18,12,0.054038004750593824,0.8584905660377359,0.9917729161123959,0.10167597765363127,0.9251679023711967,0.2142069651583459,0.008227083887604118,0.5443784920498729,0.09126382903195918
Updated Model,CART,18,12,0.07364914877868246,0.9386792452830188,0.9935636371078321,0.13658201784488674,0.9661363320699082,0.26197303001893557,0.006436362892167898,0.4040243870113045,0.08504402684047818
Static Model,CART,18,13,0.038958534233365476,0.808,0.9871298323885148,0.07433302667893284,0.8976222334853861,0.1757344480858202,0.012870167611485173,0.5443784920498729,0.08169544208794832
Updated Model,CART,18,13,0.056237510705109905,0.788,0.9914070973947567,0.10498268052224886,0.8897686341366018,0.2091233789932094,0.008592902605243232,0.33307605888694525,0.09311024285852909
Static Model,CART,18,14,0.03699019917799557,0.7090909090909091,0.992085013200172,0.07031249999999999,0.8506477120626207,0.16079254109626387,0.007914986799828092,0.5443784920498729,0.0846113539300859
Updated Model,CART,18,14,0.03805496828752643,0.7636363636363637,0.991752450729591,0.07249712313003452,0.8777425712443717,0.16933382845530728,0.008247549270409103,0.3101774950046092,0.08360928716138005
Static Model,CART,18,15,0.020985010706638114,0.7538461538461538,0.9941110860978655,0.040833333333333326,0.8739985990690246,0.12516360946510202,0.00588891390213454,0.5443784920498729,0.08833815390244126
Updated Model,CART,18,15,0.02065767284991568,0.7538461538461538,0.9940164337023925,0.04021337710299548,0.8739512650005206,0.12417377612302975,0.005983566297607597,0.2828206899575889,0.08661758713424206
Static Model,CART,18,16,0.02976190476190476,0.7070707070707071,0.9940880625422098,0.05711954304365564,0.8506157388937805,0.1442832190033228,0.005911937457790148,0.5443784920498729,0.08099615201354027
Updated Model,CART,18,16,0.027699718988358088,0.696969696969697,0.993727360170272,0.05328185328185328,0.8453861163806021,0.13813342571375584,0.0062726398297280155,0.23140532081015408,0.08399788802489638
Static Model,CART,18,17,0.0417036379769299,0.6714285714285714,0.9943566706915253,0.0785296574770259,0.8329504691907574,0.16640816289984833,0.005643329308474715,0.5443784920498729,0.08127081417478621
Updated Model,CART,18,17,0.03101424979044426,0.7928571428571428,0.9910540695413708,0.05969346598547997,0.8919911104546844,0.1557431273078367,0.008945930458629228,0.21348396502435207,0.07783850003033876
Static Model,CART,18,18,0.02397525135344161,0.6666666666666666,0.9934638683666578,0.04628592758491974,0.8301041509408214,0.12560236693032478,0.006536131633342201,0.5443784920498729,0.08055151696316898
Updated Model,CART,18,18,0.018141222439296677,0.6989247311827957,0.9909287190716902,0.0353645266594124,0.8449614687384434,0.1116520037407938,0.009071280928309763,0.18511438299901783,0.07753266487270594
Static Model,CART,18,-1,0.043427458617332035,0.7453208556149733,0.9929107345480676,0.08207279820396747,0.8691684582001341,0.17883945073094876,0.007089265451932501,0.5443784920498729,0.08489597089485162
Updated Model,CART,18,-1,0.04390616059507915,0.7693850267379679,0.9927777095598351,0.08307170437732309,0.8811288844504709,0.18273615225355438,0.0072222904401649055,0.318339802738693,0.08512385523257156
Static Model,CART,20,11,0.07396593673965937,0.7272727272727273,0.9944288585129032,0.13427561837455831,0.8609301941957429,0.23081472734981198,0.0055711414870968385,0.4923279720824212,0.0817306968383491
Updated Model,CART,20,11,0.07687927107061504,0.645933014354067,0.9951820995813117,0.13740458015267176,0.8206613570649757,0.22174050355519784,0.004817900418688337,0.47671829210594296,0.0783510368783027
